ARRAY SIZE,Random-Quick,Reversed-Quick,NearlySorted-Quick,Random-Intro,Reversed-Intro,NearlySorted-Intro
500,90.6,80.1,80.3,54.3,49.3,49.5
600,99.2,92.4,92.6,67.6,60.9,64.2
700,118,116.3,115.9,78.2,65.5,72.6
800,136.9,129.5,128.2,97.8,78.7,78.9
900,154.4,143.7,144.7,105.5,91.7,98.8
1000,173,159.4,156.4,123.7,101.7,102.9
1100,181.2,169.2,166.5,137.5,111.4,110.4
1200,192.4,187.1,179.7,136.4,122.4,119.6
1300,215.6,191.9,204,148.1,125.6,127.8
1400,230.2,206.4,217.2,167.9,130.5,150.5
1500,234.7,220.4,220.1,178.1,150.8,153.6
1600,242.4,228.9,228.2,203.4,152.3,171.1
1700,256.5,235.2,244.2,197.2,158.8,170.1
1800,270.4,244.8,259.6,210.1,177.3,169.5
1900,288,265.2,252.9,219.6,170.4,185.2
2000,300.2,255.8,268.4,240.1,169.7,197
2100,316.7,266.2,285.5,236.8,200.8,196.8
2200,325.4,283.4,292,253,200.1,197.5
2300,362.1,294.4,295.6,262.7,218,208.9
2400,355.5,304,313,263.4,221.1,227.9
2500,376.3,317.8,315.5,276,216.5,226.6
2600,388,312.5,335,283.2,219.1,231.8
2700,407.3,322.3,342.1,304.6,241.9,239.9
2800,413.1,330.8,349.5,303.6,241.7,246.7
2900,429.8,348,361.1,309.5,231.3,264.1
3000,443.1,359,373.4,327.6,244.1,246.7
3100,454.6,374.9,380.5,344.6,243.8,254.7
3200,475.7,384.6,400.8,346.2,248.5,286
3300,510.1,396,414.4,370.5,271,284.1
3400,508.2,412.2,430.3,365.1,261.4,283.6
3500,527.3,416.2,445.6,403.4,272.6,278.6
3600,539.8,430.1,461.1,409.2,288.5,295.1
3700,571.6,448.1,474.5,414.3,292.1,305.4
3800,570.2,454,493.7,424.7,301.1,306.9
3900,587.1,474.7,501.5,522.4,305.9,341.3
4000,617.2,485.1,525,464.2,310.6,330.9
4100,641,490.7,528.5,470.8,327.3,345.9
4200,637.1,518.7,553.7,484.7,337.6,358
4300,654.1,522.1,559.9,506.3,346.8,381.3
4400,691.8,526.6,569.6,526.9,356.2,373.8
4500,706.6,551.2,593.6,529.9,364.8,400.9
4600,700.8,556.6,624.1,555.9,369,383.9
4700,730.9,571.3,610.4,535.5,371.1,402.1
4800,733.5,581.9,639.8,541.1,383.6,429.4
4900,756.7,609.6,643.4,607.5,396.9,434.2
5000,791.4,608.5,666.7,583.7,408.5,417.5
5100,799.2,627,686.8,588.6,399.6,431.9
5200,818.5,628.7,708.1,601.8,425.4,438.9
5300,828.6,1128.9,687.8,625,435.7,450.4
5400,1103.3,663.2,724.9,652.7,448,464.1
5500,870.8,685.6,749.8,627.3,461.8,469.5
5600,930,687,759.1,650.6,450.2,483.9
5700,904.3,712,777.3,643.1,470.3,511
5800,912.2,718.7,757.8,725.7,463.9,527
5900,7293.7,738.8,816.8,661.3,485.2,532.1
6000,985.8,2323.5,808.8,726.7,510.7,536.6
6100,11546.3,760.6,2082,738.1,514.9,522.1
6200,7457.7,778.4,827,762.2,502.5,554.9
6300,6051.1,782,842.7,786.6,503,566.4
6400,1048.2,10046.9,848.2,741.8,559.4,580.2
6500,1481.3,19313.1,1011.3,799.9,558.3,598.2
6600,1056.2,1096.4,1050.3,808,555.8,640
6700,14709.2,825.7,6126.8,832.2,587.8,626.3
6800,1079.6,839,26202.3,832.8,610,628.2
6900,34194.2,13702,934.8,761.7,592.6,661
7000,9259.4,1758.9,16911.5,835.9,610.3,644.6
7100,23798.9,879.6,4780.6,852.2,592.8,649.4
7200,1142.3,45975.1,978.6,858.4,654.4,681.1
7300,1149.9,9892.7,25061,887,631.8,707.6
7400,1178,929.2,1733.2,898.1,654.7,717.2
7500,1191.1,932.5,32129.4,903.1,631.1,753.2
7600,1201.7,40168.2,3944.7,925.4,693.9,748.9
7700,11735,2485.3,3992.1,820.6,667.7,792.4
7800,1253.3,8148.3,71601.8,935.8,719.5,765.3
7900,1274,2804.6,15226,991.3,712.6,770.4
8000,22997.9,42028,1421.9,969.4,699.3,812.1
8100,1295.5,46620.4,11235.8,835.8,773.2,757.7
8200,23145.2,33594.8,52523.9,1000.2,781.4,815.9
8300,1330.1,16385,99959.4,907.2,807.3,800.5
8400,3685.7,3994,100015,1012.6,705.4,773.4
8500,9679.9,1091.6,4587.3,1045.9,779,872.1
8600,32605.7,6857.1,82832.5,938.8,743.5,863.5
8700,101782,72350.3,26770.4,1070.4,733.7,874.9
8800,100489,113104,31072.3,917.2,781.8,877.4
8900,69270.3,1115,1206.6,982.7,783.8,872.8
9000,1449.7,4346.5,78352,951.7,788.2,895.7
9100,20119.9,165048,27016.4,1135.5,765.6,884.6
9200,100067,21355.5,65445.9,1004.8,891.4,949.6
9300,7362.4,65823.5,100677,970.7,920.1,943.9
9400,100300,118179,100676,1087.1,931.1,929.5
9500,101238,16543.9,19843.7,952,939.7,938.2
9600,38660.9,76793.4,100735,1196.8,987.6,932.4
9700,100606,109937,100723,1020.6,900.9,947.5
9800,20762.5,198546,23896.1,1206.5,973.6,971.4
9900,51759.7,118117,3417.5,1114.6,1035.1,1055.7
10000,54442.5,71237.7,73503.9,1135,928.3,1073.8